"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"protein homooligomerization (GO:0051260)","34/121",0.0191297451879235,0.179486840266919,0,0,1.57399170925412,6.22751522139729,"STEAP4;ATL3;SHMT2;SHMT1;ZBTB1;SLC1A5;PKD2;ADCY8;SAMHD1;ACACB;IKZF4;GLS;RNF135;NACC2;TP53BP1;ASIC1;TRPM4;MPP2;SCARA5;TRPA1;KCNJ12;TMEM120A;ACOT13;SOD2;JMJD6;EHD1;LETM1;ALDH1A3;EHD3;EHD4;CTH;NINJ1;AQP11;RBMX"
"negative regulation of epithelial to mesenchymal transition (GO:0010719)","11/29",0.0192102388195941,0.179486840266919,0,0,2.45765931886123,9.71343609892509,"SPRED2;SPRED1;SFRP1;SFRP2;PTEN;SPRY2;SPRY1;ADIPOR1;IL17RD;TBX5;VASN"
"regulation of DNA biosynthetic process (GO:2000278)","11/29",0.0192102388195941,0.179486840266919,0,0,2.45765931886123,9.71343609892509,"ACVRL1;PDGFRB;TOM1L1;CDKN1A;RGCC;MYC;HGF;ANKRD1;FGFR4;SMG5;SMG6"
"response to cadmium ion (GO:0046686)","11/29",0.0192102388195941,0.179486840266919,0,0,2.45765931886123,9.71343609892509,"MT2A;JUN;CHUK;HAAO;MT1M;HSF1;AKR1C3;MT1X;EGFR;MAPK3;MT1E"
"basement membrane assembly (GO:0070831)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"NTNG1;LAMB3;PXDN;NTN4;LAMB1"
"collagen-activated signaling pathway (GO:0038065)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"COL1A1;COL4A2;UBASH3B;ITGA2;ITGA11"
"embryonic forelimb morphogenesis (GO:0035115)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"TFAP2A;OSR2;CACNA1C;TBX5;TBX3"
"endothelial cell chemotaxis (GO:0035767)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"NR4A1;EGR3;PLEKHG5;CORO1B;VEGFA"
"inositol metabolic process (GO:0006020)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"ISYNA1;IMPA1;PPIP5K1;IMPA2;ITPK1"
"mesodermal cell differentiation (GO:0048333)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"ITGB1;KDM6B;ITGA3;ITGA2;ITGA8"
"negative regulation of biomineralization (GO:0110150)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"NOTCH1;ROCK1;ROCK2;SOX9;GAS6"
"negative regulation of bone resorption (GO:0045779)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"P2RX7;UBASH3B;TMEM119;TNFAIP3;GPR137B"
"positive regulation of extracellular matrix assembly (GO:1901203)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"PHLDB1;RGCC;SMAD3;DAG1;PHLDB2"
"positive regulation of smooth muscle cell apoptotic process (GO:0034393)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"CDKN2A;PDCD4;IL12A;PPARG;SOD2"
"regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"EPHA4;BIN1;ROCK2;SORL1;PICALM"
"regulation of CD8-positive, alpha-beta T cell activation (GO:2001185)","5/9",0.0193100419867583,0.179486840266919,0,0,5.02385136831534,19.8297944925688,"CD274;IRF1;HLA-A;HLA-E;MAPK8IP1"
